BEN,TIME,NODES
118.0,189,11
103.0,100,10
109.0,117,9
64.0,81,10
121.0,75,9
111.0,90,11
108.0,104,12
97.0,100,10
75.0,102,11
123.0,97,11
143.0,105,13
105.0,65,8
173.0,81,10
123.0,63,8
58.0,54,7
108.0,73,10
160.0,127,17
97.0,58,8
80.0,59,8
121.0,97,13
132.0,87,12
123.0,72,10
178.0,100,14
149.0,110,14
73.0,77,10
77.0,66,8
132.0,115,13
95.0,88,11
83.0,88,11
135.0,83,11
100.0,74,9
69.0,113,14
134.0,70,9
143.0,77,10
122.0,99,13
75.0,68,9
139.0,69,9
135.0,62,8
106.0,72,10
182.0,95,13
201.0,95,13
177.0,88,12
131.0,79,11
44.0,44,6
60.0,45,6
71.0,36,5
109.0,73,10
94.0,66,9
114.0,66,9
77.0,68,9
115.0,86,12
136.0,67,9
123.0,111,15
102.0,79,11
51.0,73,10
77.0,72,10
84.0,64,8
81.0,50,7
138.0,74,10
105.0,95,13
54.0,58,8
149.0,88,12
52.0,56,8
111.0,78,11
111.0,71,10
176.0,70,10
129.0,93,13
116.0,89,12
168.0,94,13
75.0,81,11
104.0,80,11
82.0,65,9
69.0,80,11
77.0,75,10
62.0,74,10
116.0,100,14
184.0,92,13
78.0,88,12
123.0,86,12
82.0,87,12
69.0,101,14
11.0,21,3
184.0,71,10
90.0,57,8
65.0,37,5
70.0,73,10
90.0,58,8
97.0,79,11
96.0,78,11
78.0,74,10
73.0,57,8
121.0,64,9
96.0,51,7
200.0,86,12
84.0,66,9
111.0,73,10
160.0,79,11
88.0,64,9
109.0,80,11
91.0,71,10
