BEN,TIME,NODE
0.0,129.0,1.0
0.0,50.0,1.0
32.1,83.0,2.0
17.5,52.0,2.0
19.4,64.0,2.0
45.0,91.0,2.0
21.2,91.0,2.0
17.6,69.0,2.0
16.3,60.0,2.0
12.9,56.0,2.0
24.6,56.0,2.0
21.6,87.0,3.0
16.6,59.0,2.0
0.0,40.0,1.0
25.8,65.0,2.0
23.4,65.0,3.0
26.0,42.0,2.0
8.4,47.0,2.0
45.4,40.0,2.0
18.0,48.0,2.0
6.1,41.0,2.0
2.0,88.0,3.0
3.2,48.0,2.0
27.1,39.0,2.0
35.9,46.0,2.0
47.0,40.0,2.0
32.0,39.0,2.0
0.0,18.0,1.0
0.0,20.0,1.0
31.8,54.0,2.0
10.5,74.0,2.0
43.6,69.0,3.0
20.4,37.0,2.0
8.0,39.0,2.0
29.8,39.0,2.0
37.8,41.0,2.0
0.0,20.0,1.0
0.0,20.0,1.0
31.8,37.0,2.0
16.7,38.0,2.0
39.7,43.0,2.0
6.7,36.0,2.0
31.6,42.0,2.0
15.9,61.0,3.0
34.6,59.0,3.0
42.0,40.0,2.0
21.2,40.0,2.0
29.3,58.0,3.0
0.0,19.0,1.0
13.3,41.0,2.0
11.5,40.0,2.0
11.0,38.0,2.0
0.0,20.0,1.0
21.1,41.0,2.0
6.6,43.0,2.0
15.6,39.0,2.0
0.0,20.0,1.0
20.7,43.0,2.0
50.0,43.0,2.0
22.4,39.0,2.0
2.1,41.0,2.0
34.2,43.0,2.0
18.0,37.0,2.0
45.6,60.0,3.0
42.0,41.0,2.0
54.6,38.0,2.0
2.8,40.0,2.0
6.2,40.0,2.0
13.6,38.0,2.0
20.2,39.0,2.0
18.6,39.0,2.0
9.7,38.0,2.0
0.0,19.0,1.0
0.6,38.0,2.0
0.0,19.0,1.0
11.8,41.0,2.0
4.1,39.0,2.0
0.0,20.0,1.0
43.7,39.0,2.0
24.4,38.0,2.0
43.6,59.0,3.0
4.8,39.0,2.0
31.8,39.0,2.0
31.8,55.0,3.0
41.9,38.0,2.0
0.0,19.0,1.0
30.8,38.0,2.0
5.3,41.0,2.0
23.8,61.0,3.0
31.4,38.0,2.0
32.4,39.0,2.0
19.4,38.0,2.0
27.7,40.0,2.0
53.8,42.0,2.0
0.8,40.0,2.0
42.0,43.0,2.0
1.8,42.0,2.0
18.2,40.0,2.0
21.2,41.0,2.0
0.0,19.0,1.0
