BEN,TIME,DIST
19.0,56.0,25500.0
61.0,3.0,26500.0
62.0,3.0,11000.0
61.0,3.0,16000.0
66.0,4.0,43500.0
61.0,4.0,19500.0
48.0,3.0,6500.0
59.0,4.0,21500.0
40.0,3.0,14500.0
43.0,4.0,13500.0
46.0,4.0,21000.0
45.0,4.0,38500.0
60.0,3.0,15000.0
36.0,3.0,33500.0
72.0,2.0,6000.0
39.0,4.0,49500.0
70.0,3.0,25500.0
49.0,3.0,11000.0
64.0,2.0,38500.0
57.0,3.0,14000.0
37.0,3.0,24000.0
51.0,2.0,21500.0
17.0,4.0,22000.0
70.0,3.0,10000.0
23.0,4.0,48500.0
51.0,3.0,2500.0
52.0,3.0,11000.0
23.0,3.0,25500.0
75.0,3.0,9000.0
57.0,3.0,14000.0
49.0,3.0,20500.0
66.0,4.0,74000.0
53.0,2.0,8000.0
32.0,3.0,11500.0
39.0,3.0,7500.0
44.0,2.0,24500.0
54.0,4.0,52000.0
48.0,3.0,20500.0
51.0,3.0,10000.0
42.0,2.0,31500.0
51.0,2.0,7500.0
41.0,4.0,64500.0
55.0,3.0,29500.0
31.0,3.0,18000.0
59.0,4.0,81500.0
68.0,3.0,6500.0
65.0,4.0,12000.0
56.0,4.0,7500.0
41.0,2.0,16500.0
28.0,3.0,25000.0
51.0,3.0,29000.0
34.0,4.0,25500.0
52.0,4.0,60500.0
35.0,2.0,9500.0
40.0,4.0,26500.0
54.0,2.0,13000.0
34.0,4.0,34000.0
36.0,2.0,12500.0
59.0,2.0,2000.0
51.0,2.0,22500.0
38.0,2.0,7500.0
60.0,3.0,14000.0
49.0,3.0,8500.0
63.0,3.0,8000.0
62.0,2.0,4500.0
70.0,3.0,14500.0
35.0,4.0,31000.0
53.0,3.0,31500.0
65.0,3.0,18500.0
63.0,3.0,10500.0
34.0,4.0,56000.0
16.0,2.0,19000.0
29.0,4.0,57500.0
51.0,3.0,29000.0
22.0,3.0,29000.0
42.0,3.0,26500.0
35.0,3.0,19000.0
69.0,3.0,12000.0
62.0,2.0,8500.0
57.0,2.0,5500.0
66.0,4.0,74000.0
44.0,4.0,16500.0
75.0,2.0,32000.0
65.0,2.0,21000.0
59.0,2.0,1000.0
53.0,2.0,8000.0
49.0,5.0,32000.0
39.0,2.0,25000.0
41.0,2.0,4500.0
74.0,2.0,18500.0
44.0,3.0,22000.0
66.0,4.0,43500.0
43.0,3.0,14000.0
64.0,2.0,5000.0
34.0,4.0,7000.0
62.0,2.0,4500.0
50.0,2.0,18000.0
44.0,2.0,10500.0
48.0,3.0,10500.0
70.0,4.0,13000.0
