BEN,TIME,DIST
21.0,1096.0,21200.0
7.0,1016.0,40400.0
67.0,1047.0,13500.0
17.0,999.0,41000.0
21.0,981.0,24300.0
27.0,1005.0,23900.0
19.0,1035.0,32000.0
15.0,1018.0,2700.0
12.0,1017.0,58400.0
35.0,1023.0,12800.0
26.0,1028.0,10400.0
15.0,1006.0,12000.0
13.0,997.0,59800.0
15.0,1002.0,39400.0
29.0,1001.0,29900.0
42.0,990.0,15200.0
31.0,1048.0,32200.0
20.0,1005.0,39300.0
23.0,982.0,4400.0
22.0,1013.0,14000.0
34.0,999.0,23600.0
24.0,995.0,17900.0
16.0,975.0,22500.0
36.0,1031.0,36300.0
32.0,1011.0,23900.0
39.0,1026.0,9500.0
21.0,1005.0,10800.0
19.0,964.0,32500.0
40.0,1035.0,20600.0
30.0,1000.0,18300.0
21.0,1007.0,22800.0
26.0,1011.0,18200.0
25.0,1010.0,13400.0
12.0,1038.0,21800.0
20.0,1003.0,39500.0
34.0,976.0,32100.0
28.0,1010.0,12700.0
29.0,1036.0,40200.0
27.0,1001.0,20200.0
20.0,1027.0,11800.0
42.0,1028.0,23700.0
19.0,1008.0,32900.0
39.0,1008.0,39700.0
12.0,988.0,36500.0
30.0,1026.0,42800.0
36.0,999.0,35000.0
30.0,1018.0,20400.0
17.0,1020.0,42500.0
21.0,1060.0,34000.0
17.0,1010.0,27100.0
25.0,1021.0,28100.0
10.0,984.0,20200.0
18.0,1005.0,38900.0
12.0,1028.0,11900.0
19.0,1018.0,41100.0
40.0,1008.0,32900.0
10.0,986.0,39500.0
23.0,1016.0,8200.0
20.0,999.0,46300.0
37.0,991.0,23100.0
30.0,1033.0,52000.0
16.0,1063.0,7800.0
16.0,997.0,11500.0
47.0,993.0,11100.0
21.0,998.0,56300.0
38.0,997.0,36600.0
22.0,1005.0,42100.0
19.0,1064.0,30900.0
25.0,1001.0,7100.0
36.0,1003.0,15600.0
33.0,1017.0,23800.0
5.0,991.0,5600.0
18.0,1076.0,15200.0
20.0,1033.0,22800.0
11.0,1024.0,42100.0
15.0,1020.0,18000.0
23.0,996.0,22800.0
34.0,1021.0,28200.0
21.0,989.0,21900.0
36.0,997.0,14900.0
20.0,992.0,23800.0
16.0,990.0,41000.0
41.0,981.0,36700.0
41.0,990.0,41400.0
22.0,1000.0,22000.0
20.0,1003.0,38100.0
18.0,985.0,13200.0
36.0,1008.0,14700.0
22.0,990.0,27600.0
27.0,983.0,47400.0
31.0,1003.0,26100.0
26.0,992.0,39200.0
10.0,1038.0,19800.0
23.0,993.0,32300.0
10.0,999.0,36300.0
14.0,981.0,36000.0
15.0,1011.0,19700.0
36.0,974.0,24900.0
27.0,996.0,24200.0
23.0,961.0,27200.0
