BEN,TIME,NODE
0.0,36.0,1.0
0.0,22.0,1.0
82.3,38.0,2.0
25.6,20.0,2.0
0.0,9.0,1.0
31.4,21.0,2.0
10.8,18.0,2.0
0.0,8.0,1.0
0.0,19.0,1.0
8.1,14.0,2.0
0.0,4.0,1.0
42.0,13.0,2.0
6.8,8.0,2.0
0.0,4.0,1.0
3.4,19.0,2.0
0.0,4.0,1.0
2.6,8.0,2.0
0.0,3.0,1.0
6.3,8.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
40.9,11.0,2.0
23.5,8.0,2.0
20.4,11.0,2.0
9.2,8.0,2.0
0.0,4.0,1.0
17.2,8.0,2.0
67.2,8.0,2.0
29.6,18.0,2.0
0.0,4.0,1.0
18.4,8.0,2.0
11.6,9.0,2.0
0.0,4.0,1.0
7.1,14.0,3.0
0.0,3.0,1.0
0.0,4.0,1.0
10.2,7.0,2.0
29.4,8.0,2.0
22.1,7.0,2.0
0.0,3.0,1.0
2.1,7.0,2.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,4.0,1.0
26.0,8.0,2.0
45.6,7.0,2.0
12.0,8.0,2.0
0.0,5.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
32.6,8.0,2.0
0.0,3.0,1.0
37.4,7.0,2.0
3.5,14.0,2.0
15.8,8.0,2.0
65.0,9.0,2.0
0.0,4.0,1.0
25.1,10.0,2.0
60.8,9.0,2.0
36.2,8.0,2.0
57.2,9.0,2.0
0.0,4.0,1.0
27.4,23.0,2.0
0.0,4.0,1.0
14.2,8.0,2.0
40.6,9.0,2.0
9.2,7.0,2.0
0.0,4.0,1.0
12.8,9.0,2.0
0.0,3.0,1.0
31.6,9.0,2.0
18.9,8.0,2.0
0.0,3.0,1.0
13.9,18.0,2.0
0.0,7.0,1.0
35.3,16.0,2.0
27.8,8.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
21.3,7.0,2.0
0.0,3.0,1.0
25.3,9.0,2.0
0.0,3.0,1.0
2.3,13.0,3.0
8.0,8.0,2.0
33.0,8.0,2.0
50.2,9.0,2.0
47.2,20.0,2.0
0.0,4.0,1.0
0.0,6.0,1.0
32.0,14.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
32.5,7.0,2.0
25.0,20.0,2.0
39.4,53.0,2.0
