BEN,TIME,NODE
0.0,98.0,1.0
6.6,69.0,2.0
0.0,20.0,1.0
0.0,23.0,1.0
0.0,67.0,2.0
0.0,21.0,1.0
4.0,55.0,2.0
9.0,46.0,2.0
0.0,24.0,1.0
16.6,49.0,2.0
0.0,19.0,1.0
6.2,62.0,3.0
1.5,48.0,2.0
0.0,20.0,1.0
0.0,20.0,1.0
4.8,40.0,2.0
3.1,39.0,2.0
0.0,21.0,1.0
27.0,40.0,2.0
0.0,20.0,1.0
0.0,28.0,1.0
0.0,19.0,1.0
0.0,20.0,1.0
0.0,32.0,1.0
0.0,33.0,1.0
5.2,81.0,2.0
6.6,50.0,2.0
0.0,19.0,1.0
0.0,20.0,1.0
0.0,20.0,1.0
1.2,39.0,2.0
0.0,19.0,1.0
5.1,39.0,2.0
0.0,20.0,1.0
5.6,40.0,2.0
10.6,59.0,2.0
3.4,39.0,2.0
0.0,21.0,1.0
0.0,21.0,1.0
0.0,33.0,1.0
24.9,81.0,3.0
4.3,58.0,2.0
0.0,21.0,1.0
0.0,30.0,1.0
0.0,23.0,1.0
0.0,21.0,1.0
0.0,29.0,1.0
3.1,48.0,2.0
0.0,23.0,1.0
0.0,24.0,1.0
0.0,22.0,1.0
0.0,21.0,1.0
15.8,93.0,4.0
5.9,81.0,4.0
0.0,20.0,1.0
0.0,19.0,1.0
0.0,20.0,1.0
10.1,41.0,2.0
10.4,41.0,2.0
0.0,20.0,1.0
0.0,20.0,1.0
11.4,45.0,2.0
0.0,21.0,1.0
0.0,21.0,1.0
0.0,19.0,1.0
34.2,39.0,2.0
3.2,50.0,2.0
0.0,24.0,1.0
2.2,53.0,2.0
0.0,25.0,1.0
2.4,53.0,2.0
4.1,49.0,2.0
0.0,26.0,1.0
13.5,53.0,2.0
0.0,21.0,1.0
0.0,19.0,1.0
0.6,38.0,2.0
10.3,40.0,2.0
24.8,38.0,2.0
0.0,19.0,1.0
0.0,18.0,1.0
2.6,39.0,2.0
0.0,19.0,1.0
4.2,39.0,2.0
20.4,38.0,2.0
0.0,19.0,1.0
16.7,38.0,2.0
0.0,20.0,1.0
1.9,58.0,3.0
19.2,40.0,2.0
0.0,19.0,1.0
0.0,41.0,2.0
6.8,38.0,2.0
0.0,20.0,1.0
0.0,19.0,1.0
0.0,19.0,1.0
0.2,38.0,2.0
3.0,39.0,2.0
8.2,39.0,2.0
0.0,19.0,1.0
