BEN,TIME,NODE
0.0,59.0,1.0
0.0,19.0,1.0
0.0,26.0,1.0
0.0,8.0,1.0
0.0,42.0,2.0
0.0,7.0,1.0
4.0,20.0,2.0
9.0,30.0,2.0
0.0,12.0,1.0
16.6,13.0,2.0
0.0,3.0,1.0
6.2,14.0,3.0
1.5,9.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
3.1,16.0,2.0
0.0,26.0,1.0
0.9,27.0,2.0
0.0,3.0,1.0
0.0,15.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
5.2,24.0,2.0
1.4,8.0,2.0
0.0,4.0,1.0
0.0,4.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
5.1,8.0,2.0
0.0,4.0,1.0
5.6,8.0,2.0
10.6,8.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,4.0,1.0
0.0,4.0,1.0
14.1,25.0,4.0
0.5,11.0,2.0
0.0,3.0,1.0
0.0,3.0,1.0
0.0,7.0,1.0
10.1,8.0,2.0
10.4,7.0,2.0
0.0,3.0,1.0
0.0,4.0,1.0
11.4,9.0,2.0
0.0,3.0,1.0
0.0,4.0,1.0
0.0,3.0,1.0
34.2,8.0,2.0
3.2,8.0,2.0
0.0,4.0,1.0
2.2,8.0,2.0
0.0,3.0,1.0
2.4,7.0,2.0
4.1,8.0,2.0
0.0,3.0,1.0
1.7,21.0,2.0
0.0,4.0,1.0
0.0,7.0,1.0
0.0,3.0,1.0
0.0,3.0,1.0
24.8,7.0,2.0
0.0,4.0,1.0
0.0,3.0,1.0
2.6,7.0,2.0
0.0,3.0,1.0
0.0,3.0,1.0
20.4,8.0,2.0
0.0,3.0,1.0
7.5,7.0,2.0
0.0,3.0,1.0
1.9,11.0,3.0
18.6,17.0,2.0
0.0,12.0,1.0
0.0,13.0,2.0
0.0,12.0,1.0
0.0,4.0,1.0
0.0,8.0,1.0
0.0,5.0,1.0
0.0,4.0,1.0
3.0,8.0,2.0
0.0,4.0,1.0
0.0,5.0,1.0
