BEN,TIME,NODE
9.95,26.25,2.45
13.5,10.4,2.55
28.9,10.15,2.5
24.15,9.65,2.55
17.75,10.05,2.45
26.8,10.3,2.35
21.4,12.9,2.65
20.6,13.65,2.7
13.1,9.75,2.25
25.4,9.35,2.35
22.3,10.2,2.45
12.7,9.55,2.5
23.25,10.35,2.45
11.75,13.15,2.75
30.3,12.65,2.4
23.65,12.0,2.7
27.85,12.8,2.5
17.45,15.1,2.65
32.7,15.2,2.85
14.3,11.0,2.25
11.7,11.3,2.35
11.6,10.55,2.35
6.7,13.05,2.15
31.4,11.85,2.9
21.25,9.95,2.45
26.75,9.25,2.6
20.6,8.55,2.5
7.85,7.65,2.2
14.9,8.55,2.35
24.7,10.25,2.75
13.65,9.35,2.55
21.95,9.7,2.65
17.5,9.55,2.5
12.15,8.9,2.5
15.85,10.1,2.55
22.5,8.3,2.45
7.7,17.35,2.0
12.15,18.15,2.25
20.05,19.3,2.5
16.3,18.45,2.55
27.55,9.7,2.55
15.3,9.4,2.5
25.4,19.65,2.5
14.75,23.55,2.65
20.55,11.95,2.55
21.9,16.2,2.35
21.45,7.45,2.3
20.8,15.2,2.6
14.4,34.9,2.3
11.15,23.1,2.35
9.4,23.75,2.15
11.45,14.95,2.7
8.75,10.95,2.2
13.7,46.6,2.7
17.05,21.5,2.2
21.15,9.5,2.55
13.6,13.4,2.3
20.75,9.2,2.35
26.85,9.3,2.55
21.95,8.3,2.45
18.35,11.35,2.45
23.55,17.0,2.5
16.35,9.7,2.6
24.6,14.9,2.6
28.25,9.2,2.6
32.7,9.2,2.8
13.95,8.15,2.3
26.3,19.55,2.6
19.8,7.9,2.25
20.0,10.35,2.95
23.2,8.3,2.4
7.6,7.4,2.25
7.6,7.8,2.25
19.5,7.9,2.25
4.45,8.8,2.25
18.65,11.6,2.4
15.0,14.6,2.4
15.85,13.9,2.5
33.45,11.5,2.8
24.0,16.0,2.35
23.6,22.6,2.65
16.9,10.55,2.45
24.2,7.7,2.15
26.25,17.9,2.75
23.95,8.5,2.4
13.85,14.8,2.35
21.25,9.65,2.5
14.6,17.7,2.5
17.3,7.75,2.2
27.7,8.25,2.4
21.0,8.15,2.4
17.65,8.8,2.4
22.5,14.25,2.75
27.85,8.35,2.25
14.45,10.15,2.7
26.65,8.15,2.35
16.8,8.5,2.35
16.35,9.55,2.8
15.45,9.65,2.5
16.8,16.05,2.6
