BEN,TIME,NODE
16.1,9.6,2.0
14.85,9.65,1.9
20.1,8.3,1.9
27.0,8.7,2.0
14.25,9.65,2.05
17.95,9.4,1.95
20.1,10.35,2.0
19.35,10.9,1.95
11.6,9.55,1.75
17.85,11.55,2.0
15.05,14.35,2.0
20.0,10.7,1.95
30.75,8.75,2.05
18.15,7.65,1.95
19.8,7.5,2.05
23.05,6.8,2.0
24.0,7.0,1.95
15.9,6.75,1.9
29.65,7.35,2.0
19.25,7.25,2.0
18.75,7.65,1.95
14.15,7.4,1.85
16.35,8.65,2.0
17.25,7.8,1.95
16.2,8.35,2.0
13.3,8.55,1.9
10.45,7.7,1.9
18.2,8.65,2.0
28.25,9.1,1.95
23.45,9.5,1.95
15.0,7.0,1.7
18.15,8.05,1.8
9.5,7.5,1.85
13.55,8.55,2.0
10.65,6.4,1.6
21.25,7.9,2.0
27.95,7.85,2.0
21.35,7.25,1.9
24.9,7.15,1.95
16.5,7.35,2.0
26.0,7.15,1.95
16.9,7.15,1.85
26.95,7.4,2.0
19.95,8.0,1.95
22.65,15.4,2.0
15.05,8.7,2.0
24.55,7.5,2.0
16.2,7.7,1.85
15.35,8.35,1.95
9.8,8.6,1.9
16.35,9.35,2.0
19.6,8.9,1.95
16.75,8.1,1.9
15.9,6.6,1.85
21.05,7.2,2.05
17.7,6.25,1.95
21.9,7.15,1.95
19.15,7.25,2.0
21.8,13.35,2.0
23.05,19.65,2.0
19.05,21.7,1.9
24.75,13.25,1.85
10.85,28.9,1.8
19.3,21.55,1.9
15.5,9.05,1.9
23.85,10.0,2.0
10.2,8.0,1.9
22.25,7.7,1.85
17.55,6.6,1.9
19.5,7.35,1.9
23.05,7.3,1.95
9.95,7.8,1.95
14.65,9.4,2.0
18.5,10.55,1.95
15.0,11.25,1.9
27.95,10.65,2.0
20.8,8.05,1.95
25.5,8.3,2.0
20.85,7.85,2.0
17.95,7.3,2.0
26.7,7.05,2.0
16.5,7.9,2.0
31.45,7.05,2.0
16.7,6.75,1.95
11.6,6.8,1.95
23.3,7.05,2.0
22.1,6.6,2.0
20.65,6.6,1.9
8.9,5.95,1.9
14.65,7.15,2.0
15.8,8.15,2.05
13.3,7.55,2.0
16.5,6.85,1.95
18.45,5.6,1.8
22.85,6.75,1.95
11.1,6.55,2.0
16.3,6.4,1.9
9.0,5.85,1.85
23.95,7.95,2.0
26.65,7.75,2.0
